,fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,pH,sulphates,alcohol,quality
988,6.9,0.19,0.33,0.043,63.0,3.44,0.52,10.8,5
989,7.7,0.28,0.39,0.036000000000000004,8.0,3.06,0.38,12.0,7
990,8.6,0.16,0.38,0.04,41.0,2.95,0.39,10.2,6
991,8.2,0.26,0.44,0.046,7.0,3.14,0.62,10.2,4
992,6.5,0.25,0.27,0.049,75.0,3.19,0.39,9.9,5
993,7.0,0.24,0.18,0.046,9.0,3.38,0.47,10.1,4
994,8.6,0.18,0.36,0.04,24.0,3.25,0.55,9.5,6
995,7.8,0.27,0.34,0.046,27.0,3.05,0.45,10.5,6
996,6.0,0.26,0.34,0.046,6.0,3.29,0.63,10.4,5
997,6.1,0.24,0.27,0.062,33.0,3.31,0.47,9.5,6
998,8.0,0.24,0.3,0.055999999999999994,43.0,3.05,0.5,9.2,6
999,7.6,0.21,0.6,0.046,47.0,3.05,0.54,10.1,7
1000,8.0,0.19,0.36,0.05,16.0,3.15,0.45,9.8,7
1001,6.4,0.28,0.41,0.045,61.0,3.09,0.46,9.4,5
1002,6.4,0.28,0.43,0.045,60.0,3.09,0.45,9.4,6
1003,6.9,0.24,0.39,0.063,18.0,3.31,0.48,10.4,7
1004,5.8,0.36,0.26,0.038,40.0,3.34,0.55,11.3,6
1005,6.6,0.18,0.28,0.044000000000000004,18.0,3.42,0.64,10.8,6
1006,5.8,0.36,0.26,0.038,40.0,3.34,0.55,11.3,6
1007,5.1,0.52,0.06,0.052000000000000005,30.0,3.32,0.43,9.3,5
1008,6.6,0.22,0.37,0.059000000000000004,45.0,3.37,0.55,10.3,7
1009,8.3,0.15,0.39,0.055,32.0,3.08,0.39,10.5,6
1010,7.6,0.16,0.44,0.043,25.0,3.11,0.75,10.3,6
1011,7.7,0.16,0.41,0.048,60.0,3.24,0.66,11.2,7
1012,8.3,0.16,0.48,0.057,31.0,3.15,0.41,10.3,6
1013,6.2,0.25,0.47,0.048,62.0,3.19,0.5,9.5,5
1014,6.1,0.16,0.27,0.064,63.0,3.66,0.43,8.9,5
1015,7.6,0.39,0.22,0.036000000000000004,19.0,3.03,0.29,10.2,5
1016,6.8,0.37,0.47,0.071,44.0,2.98,0.88,9.2,5
1017,7.6,0.16,0.44,0.043,25.0,3.11,0.75,10.3,6
1018,7.1,0.18,0.42,0.045,47.0,2.95,0.31,10.5,6
1019,8.3,0.14,0.26,0.049,56.0,3.21,0.62,9.5,6
1020,8.6,0.2,0.42,0.040999999999999995,35.0,3.11,0.49,11.4,7
1021,8.6,0.2,0.42,0.040999999999999995,35.0,3.11,0.49,11.4,7
1022,6.8,0.19,0.32,0.019,54.0,3.25,0.37,11.1,8
1023,7.6,0.19,0.38,0.06,48.0,3.13,0.38,10.5,6
1024,6.8,0.34,0.74,0.08800000000000001,23.0,3.51,0.7,12.0,6
1025,6.2,0.15,0.46,0.039,38.0,3.38,0.51,9.7,6
1026,6.6,0.14,0.44,0.042,47.0,3.32,0.51,10.2,6
1027,8.0,0.55,0.17,0.04,13.0,3.09,0.3,9.5,4
1028,7.0,0.24,0.35,0.052000000000000005,51.0,3.41,0.59,10.4,7
1029,6.3,0.6,0.44,0.05,50.0,3.19,0.57,9.3,4
1030,7.1,0.2,0.41,0.054000000000000006,24.0,3.48,0.62,10.5,6
1031,6.2,0.34,0.29,0.047,45.0,3.35,0.62,10.0,6
1032,7.1,0.3,0.36,0.055,44.5,3.49,0.64,10.2,6
1033,7.1,0.3,0.36,0.055,44.5,3.49,0.64,10.2,6
1034,7.9,0.64,0.46,0.244,33.0,2.87,0.74,9.1,3
1035,8.8,0.17,0.38,0.04,39.0,3.16,0.67,10.2,6
1036,7.5,0.17,0.37,0.06,18.0,3.54,0.88,10.7,5
1037,7.1,0.47,0.24,0.044000000000000004,11.0,3.21,0.56,9.7,5
1038,7.1,0.15,0.34,0.034,33.0,3.37,0.52,9.3,7
1039,7.5,0.17,0.34,0.035,13.0,3.05,0.74,11.0,5
1040,8.2,0.68,0.3,0.047,17.0,3.22,0.71,10.8,4
1041,7.7,0.275,0.3,0.039,19.0,3.01,0.56,10.7,5
1042,7.3,0.49,0.32,0.043,18.0,3.24,0.45,10.7,4
1043,7.5,0.33,0.48,0.048,55.0,2.95,0.4,8.8,5
1044,7.2,0.21,0.37,0.049,23.0,3.16,0.48,10.9,7
1045,7.3,0.15,0.4,0.05,24.0,3.14,0.45,10.5,5
1046,6.5,0.19,0.1,0.046,23.0,3.29,0.45,10.0,5
1047,7.0,0.31,0.52,0.028999999999999998,5.0,3.07,0.43,10.4,5
1048,8.3,0.4,0.38,0.038,15.0,3.03,0.43,9.2,5
1049,6.1,0.37,0.36,0.035,36.0,3.31,0.62,12.6,6
1050,7.3,0.24,0.34,0.048,29.0,3.1,0.54,9.0,5
1051,6.9,0.21,0.81,0.13699999999999998,52.0,3.03,0.39,9.2,6
1052,7.6,0.29,0.42,0.035,18.0,2.99,0.39,11.3,5
1053,9.4,0.29,0.55,0.05,17.0,3.12,0.69,10.3,4
1054,7.0,0.31,0.52,0.028999999999999998,5.0,3.07,0.43,10.4,5
1055,8.6,0.26,0.41,0.049,29.0,2.96,0.44,10.0,5
1056,7.5,0.21,0.34,0.06,26.0,3.51,0.47,10.7,6
1057,7.2,0.51,0.24,0.09300000000000001,35.0,3.41,0.47,9.0,5
1058,7.5,0.21,0.34,0.06,26.0,3.51,0.47,10.7,6
1059,5.3,0.3,0.2,0.077,48.0,3.3,0.54,8.7,4
1060,8.0,0.26,0.36,0.054000000000000006,30.0,3.09,0.72,11.6,7
1061,7.0,0.21,0.28,0.07,45.0,3.34,0.55,9.4,5
1062,6.7,0.26,0.26,0.079,35.5,3.31,0.68,9.5,5
1063,6.7,0.26,0.26,0.073,36.0,3.3,0.67,9.5,5
1064,8.1,0.26,0.37,0.07200000000000001,48.0,3.37,0.7,10.9,6
1065,8.3,0.22,0.38,0.054000000000000006,32.0,3.22,0.5,9.7,5
1066,6.4,0.3,0.51,0.048,62.0,3.08,0.45,9.1,6
1067,7.5,0.19,0.34,0.037000000000000005,33.0,3.1,0.49,11.1,7
1068,8.8,0.33,0.44,0.024,9.0,2.96,0.4,12.6,7
1069,6.9,0.2,0.36,0.031,38.0,3.35,0.56,11.0,6
1070,8.0,0.37,0.32,0.04,32.0,3.0,0.55,11.3,7
1071,8.3,0.22,0.38,0.054000000000000006,32.0,3.22,0.5,9.7,5
1072,8.2,0.29,0.33,0.036000000000000004,28.0,2.96,0.4,10.9,7
1073,7.7,0.34,0.3,0.048,25.0,2.97,0.47,10.9,5
1074,6.2,0.55,0.45,0.049,27.0,3.17,0.5,9.3,6
1075,6.4,0.4,0.19,0.033,28.0,3.22,0.54,12.7,7
1076,7.5,0.28,0.33,0.048,42.0,3.37,0.59,10.1,6
1077,7.8,0.26,0.44,0.037000000000000005,43.0,3.18,0.65,10.0,5
1078,6.5,0.26,0.34,0.051,56.0,3.49,0.42,9.8,5
1079,6.3,0.34,0.29,0.046,29.0,3.29,0.53,10.1,6
1080,6.8,0.15,0.33,0.059000000000000004,31.0,3.43,0.39,9.0,7
1081,6.3,0.27,0.25,0.038,52.0,3.28,0.38,9.4,6
1082,6.3,0.27,0.25,0.038,52.0,3.28,0.38,9.4,6
1083,7.4,0.2,0.37,0.048,43.0,3.03,0.42,9.2,6
1084,6.3,0.23,0.21,0.035,29.0,3.36,0.33,10.1,7
1085,7.3,0.31,0.69,0.040999999999999995,58.0,3.06,0.45,8.6,5
1086,5.2,0.24,0.45,0.027000000000000003,21.0,3.55,0.49,11.2,8
1087,7.0,0.24,0.32,0.037000000000000005,39.0,3.17,0.42,11.2,8
1088,7.4,0.2,0.37,0.048,43.0,3.03,0.42,9.2,6
1089,7.0,0.17,0.33,0.034,17.0,3.19,0.39,10.6,7
1090,8.3,0.21,0.58,0.049,62.0,3.01,0.51,9.3,6
1091,7.2,0.21,0.35,0.048,35.0,3.05,0.47,8.9,6
1092,7.1,0.21,0.4,0.069,24.0,3.42,0.43,10.6,6
1093,8.4,0.17,0.31,0.038,29.0,3.1,0.32,10.6,7
1094,7.4,0.24,0.31,0.045,52.0,3.09,0.32,8.8,5
1095,5.3,0.24,0.33,0.033,25.0,3.59,0.38,11.0,8
1096,6.5,0.28,0.26,0.04,44.0,3.32,0.37,10.2,6
1097,6.3,0.23,0.21,0.035,29.0,3.36,0.33,10.1,7
1098,6.5,0.29,0.25,0.039,32.0,3.31,0.34,10.1,6
1099,5.8,0.29,0.21,0.025,12.0,3.39,0.79,14.0,7
1100,6.3,0.27,0.25,0.038,52.0,3.28,0.38,9.4,6
1101,6.3,0.17,0.42,0.027999999999999997,45.0,3.27,0.43,11.8,6
1102,6.3,0.16,0.4,0.033,59.0,3.44,0.53,11.4,5
1103,7.9,0.29,0.39,0.036000000000000004,6.0,3.12,0.42,10.7,5
1104,7.3,0.31,0.69,0.040999999999999995,58.0,3.06,0.45,8.6,5
1105,5.5,0.32,0.45,0.027999999999999997,25.0,3.51,0.49,11.5,7
1106,5.2,0.24,0.45,0.027000000000000003,21.0,3.55,0.49,11.2,8
1107,7.2,0.37,0.15,0.028999999999999998,27.0,3.3,0.59,12.6,7
1108,6.1,0.29,0.27,0.024,13.0,3.21,0.51,12.6,7
1109,9.2,0.22,0.4,0.054000000000000006,18.0,3.04,0.46,9.3,4
1110,7.2,0.37,0.15,0.028999999999999998,27.0,3.3,0.59,12.6,7
1111,8.0,0.18,0.37,0.04,15.0,3.06,0.61,12.1,6
1112,6.5,0.22,0.34,0.053,55.0,3.52,0.44,9.9,6
1113,7.4,0.18,0.4,0.047,22.0,3.28,0.44,10.7,5
1114,6.5,0.52,0.17,0.047,5.0,3.26,0.32,10.0,4
1115,7.0,0.15,0.38,0.047,33.0,3.13,0.39,10.4,8
1116,5.9,0.415,0.13,0.04,11.0,3.29,0.52,10.5,5
1117,8.1,0.45,0.34,0.037000000000000005,33.0,3.31,0.64,9.7,5
1118,5.8,0.415,0.13,0.04,11.0,3.29,0.52,10.5,5
1119,6.4,0.5,0.16,0.042,26.0,3.28,0.33,9.0,5
1120,6.7,0.105,0.32,0.051,34.0,3.54,0.45,9.2,6
1121,6.0,0.4,0.3,0.047,30.0,3.17,0.48,10.1,6
1122,6.6,0.25,0.39,0.04,40.0,3.35,0.4,11.4,7
1123,9.8,0.36,0.45,0.042,11.0,2.93,0.46,10.8,5
1124,9.6,0.23,0.4,0.044000000000000004,19.0,2.96,0.49,10.9,5
1125,6.3,0.55,0.45,0.047,33.0,3.2,0.46,9.2,6
1126,6.5,0.115,0.29,0.038,73.0,3.12,0.25,12.9,7
1127,6.4,0.125,0.29,0.042,24.0,3.23,0.32,12.0,7
1128,5.7,0.1,0.27,0.047,21.0,3.27,0.46,9.5,5
1129,7.9,0.25,0.29,0.031,33.0,3.06,0.32,11.8,7
1130,6.9,0.2,0.28,0.048,36.0,3.19,0.43,9.1,6
1131,6.9,0.23,0.34,0.047,24.0,3.2,0.52,9.7,6
1132,6.8,0.39,0.31,0.043,28.0,3.17,0.54,9.1,5
1133,8.7,0.22,0.42,0.053,27.0,2.99,0.43,10.0,5
1134,7.4,0.41,0.34,0.042,19.0,3.25,0.42,10.4,5
1135,6.7,0.25,0.34,0.048,30.0,3.44,0.47,9.5,6
1136,6.0,0.26,0.42,0.027000000000000003,70.0,3.4,0.4,12.3,8
1137,6.1,0.31,0.37,0.031,70.0,3.42,0.4,11.7,8
1138,9.2,0.28,0.46,0.057999999999999996,39.0,3.14,0.58,9.5,5
1139,9.0,0.31,0.49,0.034,26.0,2.99,0.34,11.5,5
1140,8.5,0.16,0.33,0.076,17.0,3.14,0.46,10.6,6
1141,9.3,0.34,0.49,0.052000000000000005,30.0,3.17,0.61,10.2,5
1142,9.2,0.28,0.46,0.057999999999999996,39.0,3.14,0.58,9.5,5
1143,7.2,0.24,0.3,0.048,27.0,3.25,0.45,10.5,5
1144,7.2,0.25,0.32,0.047,27.0,3.26,0.44,10.5,5
1145,6.8,0.32,0.18,0.040999999999999995,71.0,3.14,0.41,8.9,5
1146,9.1,0.27,0.32,0.031,15.0,3.03,0.41,10.6,5
1147,8.9,0.34,0.32,0.040999999999999995,12.0,3.17,0.49,9.5,5
1148,7.0,0.17,0.37,0.025,29.0,3.2,0.49,10.8,6
1149,6.7,0.25,0.23,0.038,61.0,3.14,0.35,9.5,5
1150,6.9,0.32,0.17,0.042,69.0,3.13,0.4,8.9,5
1151,6.8,0.32,0.18,0.040999999999999995,71.0,3.14,0.41,8.9,5
1152,6.1,0.6,0.0,0.042,24.0,3.31,0.38,9.4,4
1153,5.3,0.395,0.07,0.035,26.0,3.5,0.35,10.6,6
1154,7.9,0.16,0.3,0.037000000000000005,37.0,3.47,0.44,9.0,4
1155,7.6,0.33,0.36,0.034,26.0,3.42,0.48,10.5,4
1156,7.8,0.3,0.29,0.054000000000000006,23.0,3.16,0.38,9.0,6
1157,7.8,0.3,0.29,0.054000000000000006,23.0,3.16,0.38,9.0,6
1158,5.7,0.26,0.27,0.201,73.5,3.27,0.38,9.4,6
1159,7.8,0.3,0.29,0.054000000000000006,23.0,3.16,0.38,9.0,6
1160,7.5,0.14,0.34,0.055,50.0,3.29,0.8,9.6,6
1161,7.8,0.3,0.29,0.054000000000000006,23.0,3.16,0.38,9.0,6
1162,6.6,0.25,0.41,0.043,29.0,3.15,0.6,10.2,7
1163,5.7,0.26,0.27,0.201,73.5,3.27,0.38,9.4,6
1164,8.2,0.23,0.49,0.057,15.0,3.07,0.38,10.4,6
1165,6.0,0.24,0.32,0.03,34.0,3.52,0.41,10.4,5
1166,6.1,0.45,0.27,0.039,13.0,3.23,0.32,9.5,5
1167,7.4,0.23,0.43,0.044000000000000004,22.0,3.22,0.62,10.6,6
1168,7.2,0.2,0.38,0.037000000000000005,21.0,3.21,0.37,11.0,5
1169,7.5,0.14,0.34,0.055,50.0,3.29,0.8,9.6,6
1170,7.7,0.25,0.43,0.062,20.0,3.38,0.5,9.9,6
1171,8.2,0.61,0.45,0.03,15.0,3.14,0.34,9.6,5
1172,7.6,0.21,0.44,0.036000000000000004,10.0,3.01,0.7,12.8,6
1173,7.4,0.22,0.33,0.045,31.0,3.42,0.55,11.4,5
1174,7.2,0.26,0.26,0.036000000000000004,49.0,3.41,0.5,10.0,6
1175,6.4,0.25,0.41,0.042,57.0,3.0,0.44,9.1,5
1176,6.3,0.32,0.35,0.039,29.0,3.36,0.5,9.4,7
1177,6.8,0.25,0.29,0.042,19.0,3.46,0.54,10.2,6
1178,9.8,0.44,0.4,0.036000000000000004,35.0,2.97,0.39,9.2,5
1179,7.2,0.2,0.25,0.044000000000000004,31.0,3.23,0.36,9.4,5
1180,8.2,0.61,0.45,0.03,15.0,3.14,0.34,9.6,5
1181,7.5,0.42,0.45,0.028999999999999998,20.0,3.12,0.36,10.1,6
1182,7.4,0.22,0.33,0.045,31.0,3.42,0.55,11.4,5
1183,6.4,0.26,0.3,0.025,33.0,3.21,0.47,10.6,6
1184,7.9,0.46,0.32,0.033,40.0,3.18,0.44,12.8,7
1185,6.5,0.41,0.64,0.065,65.0,3.12,0.51,8.9,5
1186,7.5,0.32,0.37,0.048,22.0,3.09,0.43,9.3,5
1187,6.6,0.21,0.38,0.026000000000000002,40.0,3.25,0.4,11.1,8
1188,7.1,0.21,0.3,0.037000000000000005,45.0,3.13,0.33,9.9,6
1189,7.6,0.26,0.47,0.068,5.0,3.1,0.45,9.6,5
1190,7.6,0.21,0.44,0.036000000000000004,10.0,3.01,0.7,12.8,6
1191,6.9,0.25,0.26,0.024,36.0,3.16,0.72,10.7,7
1192,7.1,0.26,0.32,0.07400000000000001,29.0,2.96,0.42,9.2,6
1193,7.3,0.22,0.4,0.042,44.5,3.36,0.41,9.1,7
1194,6.2,0.37,0.22,0.025,36.0,3.33,0.6,9.6,6
1195,7.9,0.22,0.45,0.038,53.0,3.03,0.46,9.2,6
1196,6.9,0.25,0.26,0.024,36.0,3.16,0.72,10.7,7
1197,7.3,0.22,0.4,0.042,44.5,3.36,0.41,9.1,7
1198,7.1,0.26,0.32,0.07400000000000001,29.0,2.96,0.42,9.2,6
1199,7.4,0.25,0.37,0.02,14.0,3.0,0.48,10.7,7
1200,6.8,0.18,0.37,0.027000000000000003,37.0,3.3,0.45,10.8,6
1201,7.0,0.17,0.37,0.027999999999999997,26.0,3.3,0.46,10.8,7
1202,6.4,0.3,0.38,0.046,35.0,3.1,0.37,9.0,5
1203,5.0,0.33,0.16,0.049,10.0,3.48,0.44,10.7,6
1204,5.0,0.33,0.16,0.049,10.0,3.48,0.44,10.7,6
1205,8.9,0.33,0.32,0.047,11.0,3.19,0.46,9.4,5
1206,7.0,0.26,0.46,0.037000000000000005,61.0,2.94,0.35,8.8,6
1207,6.4,0.3,0.38,0.046,35.0,3.1,0.37,9.0,5
1208,6.3,0.21,0.4,0.031,48.0,3.42,0.49,11.5,6
1209,8.0,0.23,0.46,0.03,30.0,3.23,0.47,12.5,6
1210,9.2,0.28,0.41,0.042,14.0,2.96,0.25,10.5,6
1211,7.3,0.27,0.39,0.064,28.0,3.29,0.3,9.7,5
1212,7.6,0.32,0.36,0.04,32.0,3.23,0.52,11.3,6
1213,5.0,0.33,0.16,0.049,10.0,3.48,0.44,10.7,6
1214,9.7,0.24,0.45,0.033,11.0,2.74,0.47,10.8,6
1215,8.0,0.28,0.42,0.045,41.0,3.17,0.43,10.6,5
1216,8.2,0.37,0.36,0.034,17.0,3.04,0.32,11.7,8
1217,8.0,0.61,0.38,0.301,24.0,2.94,0.48,9.2,5
1218,7.2,0.26,0.44,0.027000000000000003,25.0,3.02,0.34,11.1,8
1219,8.2,0.37,0.36,0.034,17.0,3.04,0.32,11.7,8
1220,6.4,0.23,0.33,0.044000000000000004,15.5,3.33,0.44,11.0,6
1221,5.9,0.4,0.32,0.034,50.0,3.51,0.58,12.5,7
1222,7.6,0.28,0.39,0.038,21.0,3.16,0.67,10.0,6
1223,8.0,0.28,0.42,0.045,41.0,3.17,0.43,10.6,5
1224,7.2,0.23,0.39,0.033,29.0,3.26,0.54,12.3,7
1225,6.8,0.32,0.37,0.023,19.0,3.14,0.53,12.7,6
1226,7.2,0.23,0.39,0.033,29.0,3.26,0.54,12.3,7
1227,6.9,0.18,0.38,0.039,20.0,3.1,0.42,10.5,5
1228,9.4,0.26,0.53,0.047,25.0,3.23,0.28,12.5,6
1229,8.3,0.33,0.42,0.033,18.0,3.2,0.32,12.4,3
1230,7.3,0.29,0.3,0.043,46.0,3.06,0.41,8.7,6
1231,7.9,0.41,0.37,0.03,40.0,3.17,0.54,12.4,7
1232,7.9,0.44,0.37,0.033,27.0,3.16,0.54,12.6,7
1233,7.7,0.39,0.3,0.037000000000000005,29.0,3.38,0.44,11.0,6
1234,7.7,0.26,0.31,0.043,47.0,3.42,0.5,10.1,6
1235,7.8,0.32,0.31,0.036000000000000004,46.0,3.03,0.48,10.5,5
1236,6.8,0.32,0.37,0.023,19.0,3.14,0.53,12.7,6
1237,7.3,0.24,0.39,0.024,35.0,3.17,0.51,10.9,5
1238,7.1,0.44,0.37,0.040999999999999995,35.0,3.07,0.43,13.5,7
1239,10.3,0.25,0.48,0.042,28.0,3.19,0.59,9.7,5
1240,7.9,0.14,0.28,0.040999999999999995,44.0,3.45,0.43,9.2,6
1241,7.4,0.18,0.42,0.036000000000000004,33.0,3.4,0.41,10.6,7
1242,8.1,0.43,0.42,0.033,36.0,2.98,0.39,13.3,7
1243,7.1,0.44,0.37,0.040999999999999995,35.0,3.07,0.43,13.5,7
1244,6.4,0.26,0.22,0.037000000000000005,23.0,3.29,0.32,10.1,5
1245,8.0,0.66,0.72,0.042,62.0,2.92,0.68,9.4,4
1246,8.0,0.2,0.4,0.055,41.0,3.18,0.4,10.6,7
1247,7.2,0.21,0.34,0.046,25.0,3.25,0.4,11.3,6
1248,7.2,0.18,0.31,0.045,20.0,3.32,0.4,10.8,7
1249,8.4,0.57,0.44,0.051,46.0,3.15,0.51,10.4,5
1250,5.3,0.26,0.23,0.034,48.0,3.82,0.51,10.5,7
1251,5.7,0.245,0.33,0.049,28.0,3.13,0.42,9.3,5
1252,5.6,0.245,0.32,0.047,24.0,3.12,0.42,9.3,6
1253,7.3,0.25,0.41,0.037000000000000005,52.0,3.29,0.39,12.2,7
1254,7.0,0.16,0.73,0.138,58.0,3.08,0.3,9.2,5
1255,6.4,0.22,0.34,0.057,29.0,3.81,0.57,10.3,6
1256,7.3,0.18,0.65,0.046,28.0,3.33,0.62,9.4,6
1257,6.4,0.17,0.27,0.036000000000000004,88.0,3.28,0.35,10.2,6
1258,6.9,0.29,0.16,0.034,65.0,3.08,0.39,9.0,6
1259,6.2,0.21,0.38,0.036000000000000004,64.0,3.06,0.36,9.3,6
1260,6.4,0.23,0.3,0.037000000000000005,63.0,3.06,0.34,9.2,6
1261,7.3,0.19,0.68,0.05,31.0,3.32,0.64,9.4,6
1262,7.3,0.18,0.65,0.046,28.0,3.33,0.62,9.4,6
1263,9.6,0.29,0.46,0.039,77.5,2.92,0.46,9.5,6
1264,7.2,0.14,0.35,0.036000000000000004,15.0,3.46,0.39,9.9,5
1265,6.9,0.31,0.34,0.059000000000000004,36.0,3.46,0.62,11.1,7
1266,7.5,0.28,0.34,0.027999999999999997,36.0,2.99,0.41,12.3,8
1267,8.0,0.22,0.42,0.044000000000000004,45.0,3.21,0.69,8.6,7
1268,7.6,0.31,0.29,0.04,21.0,3.04,0.35,9.4,5
1269,8.4,0.35,0.56,0.048,55.0,3.07,0.58,9.4,6
1270,8.0,0.22,0.42,0.044000000000000004,45.0,3.21,0.69,8.6,7
1271,8.1,0.5,0.47,0.037000000000000005,23.0,3.21,0.42,10.9,5
1272,7.0,0.39,0.31,0.16899999999999998,32.0,3.2,0.48,9.4,5
1273,8.1,0.5,0.47,0.037000000000000005,23.0,3.21,0.42,10.9,5
1274,8.4,0.35,0.56,0.048,55.0,3.07,0.58,9.4,6
1275,6.2,0.22,0.27,0.064,20.0,3.22,0.46,9.2,6
1276,8.0,0.22,0.42,0.044000000000000004,45.0,3.21,0.69,8.6,7
1277,7.6,0.31,0.29,0.04,21.0,3.04,0.35,9.4,5
1278,7.0,0.24,0.36,0.083,10.0,3.33,0.37,10.8,6
1279,6.6,0.27,0.3,0.025,14.0,3.29,0.62,10.5,6
1280,7.8,0.16,0.41,0.026000000000000002,29.0,3.02,0.78,12.5,6
1281,7.7,0.27,0.34,0.027999999999999997,26.0,2.99,0.48,12.1,7
1282,7.4,0.31,0.74,0.039,51.0,3.02,0.43,8.7,5
1283,8.0,0.45,0.36,0.026000000000000002,50.0,3.07,0.25,12.7,8
1284,7.7,0.27,0.34,0.027999999999999997,26.0,2.99,0.48,12.1,7
1285,7.8,0.16,0.41,0.026000000000000002,29.0,3.02,0.78,12.5,6
1286,6.6,0.16,0.29,0.05,40.0,3.06,0.44,11.4,7
1287,8.3,0.21,0.4,0.032,35.0,3.02,0.6,12.9,7
1288,7.2,0.32,0.33,0.028999999999999998,29.0,3.15,0.51,12.8,7
1289,6.6,0.16,0.3,0.034,15.0,3.38,0.44,11.2,6
1290,8.4,0.16,0.33,0.033,16.0,3.14,0.42,9.7,6
1291,7.5,0.23,0.32,0.038,54.0,3.04,0.56,9.7,6
1292,6.2,0.17,0.3,0.037000000000000005,14.0,3.5,0.54,10.3,6
1293,6.9,0.39,0.22,0.03,10.0,3.0,0.87,11.6,4
1294,6.9,0.41,0.22,0.031,10.0,3.0,0.86,11.6,4
1295,7.5,0.23,0.32,0.038,54.0,3.04,0.56,9.7,6
1296,7.5,0.38,0.33,0.045,30.0,3.32,0.44,10.9,6
1297,7.3,0.42,0.38,0.045,29.0,3.19,0.37,12.6,7
1298,7.3,0.34,0.39,0.04,45.0,3.3,0.47,12.4,6
1299,7.8,0.23,0.28,0.042,45.0,2.96,0.4,11.5,5
1300,9.0,0.245,0.38,0.045,52.0,2.93,0.35,10.2,6
1301,6.9,0.2,0.4,0.032,51.0,3.22,0.27,11.4,5
1302,7.4,0.19,0.42,0.067,39.0,3.3,0.33,9.6,6
1303,8.2,0.2,0.36,0.035,60.0,3.05,0.3,10.3,6
1304,8.0,0.59,0.71,0.038,61.0,2.95,0.75,9.3,5
1305,7.9,0.14,0.45,0.05,17.0,3.33,0.49,10.7,7
1306,6.8,0.24,0.4,0.047,34.0,3.13,0.49,12.8,8
1307,9.7,0.14,0.59,0.049,23.0,2.98,0.62,9.5,5
1308,9.2,0.15,0.68,0.046,22.0,3.02,0.45,10.4,6
1309,9.4,0.17,0.55,0.049,14.0,3.02,0.61,10.3,6
1310,5.2,0.365,0.08,0.040999999999999995,37.0,3.46,0.39,9.9,6
1311,6.3,0.23,0.22,0.039,37.0,3.23,0.5,10.7,6
1312,9.6,0.25,0.54,0.04,16.0,2.94,0.43,10.5,5
1313,9.2,0.32,0.42,0.046,14.0,3.08,0.48,9.6,5
1314,6.4,0.31,0.4,0.04,46.0,3.15,0.46,9.3,6
1315,8.1,0.2,0.36,0.044000000000000004,63.0,3.1,0.46,10.0,6
1316,7.9,0.255,0.26,0.026000000000000002,40.0,3.04,0.39,11.2,6
1317,7.0,0.15,0.34,0.039,21.0,3.32,0.62,10.8,5
1318,6.4,0.15,0.31,0.044000000000000004,25.0,3.54,0.51,10.3,6
1319,6.4,0.25,0.53,0.038,59.0,3.03,0.42,8.8,5
1320,7.6,0.19,0.42,0.044000000000000004,6.0,3.04,0.74,12.8,6
1321,7.3,0.43,0.37,0.027999999999999997,17.0,3.23,0.43,13.2,6
1322,5.1,0.31,0.3,0.037000000000000005,28.0,3.54,0.56,10.1,6
1323,6.2,0.2,0.26,0.09300000000000001,40.0,3.44,0.66,11.0,5
1324,6.9,0.16,0.35,0.043,21.0,3.25,0.62,10.8,6
1325,7.7,0.32,0.48,0.04,28.0,3.2,0.52,12.8,7
1326,6.5,0.22,0.72,0.042,33.0,3.12,0.36,9.2,6
1327,6.8,0.26,0.33,0.047,44.0,3.12,0.44,10.5,6
1328,5.2,0.37,0.33,0.027999999999999997,13.0,3.37,0.38,11.7,6
1329,8.4,0.19,0.43,0.052000000000000005,20.0,2.85,0.46,9.5,5
1330,8.3,0.21,0.41,0.05,24.0,2.85,0.45,9.5,5
1331,6.8,0.15,0.32,0.057999999999999996,24.0,3.4,0.4,8.8,6
1332,7.9,0.16,0.64,0.05,69.0,3.15,0.51,9.3,7
1333,7.8,0.21,0.39,0.034,62.0,3.09,0.75,12.6,8
1334,9.0,0.24,0.5,0.048,26.0,3.21,0.34,12.4,6
1335,5.7,0.21,0.24,0.047,60.0,3.65,0.72,10.1,6
1336,7.8,0.29,0.36,0.042,38.0,3.26,0.37,11.2,8
1337,6.7,0.18,0.3,0.048,40.0,3.29,0.52,10.0,5
1338,6.7,0.18,0.3,0.048,40.0,3.29,0.52,10.0,5
1339,8.4,0.58,0.27,0.033,37.0,2.99,0.39,10.8,6
1340,7.2,0.16,0.32,0.04,50.0,3.27,0.33,10.0,6
1341,7.6,0.54,0.23,0.028999999999999998,13.0,3.04,0.33,10.4,5
1342,8.4,0.58,0.27,0.033,37.0,2.99,0.39,10.8,6
1343,6.6,0.25,0.31,0.059000000000000004,52.0,3.51,0.47,9.8,6
1344,7.3,0.23,0.37,0.040999999999999995,51.0,3.26,0.4,12.2,8
1345,7.3,0.39,0.37,0.043,36.0,3.39,0.48,12.7,8
1346,7.0,0.46,0.39,0.039,46.0,3.21,0.35,12.2,7
1347,8.2,0.35,0.4,0.039,35.0,3.15,0.34,11.9,7
1348,7.8,0.29,0.36,0.042,38.0,3.26,0.37,11.2,8
1349,9.2,0.35,0.39,0.042,15.0,2.96,0.28,10.4,4
